Given Name,Family Name,Phone 1 - Value,Labels,Nickname,Notes
Yesse,Sabia,+5491166677788,Aceptado,94279825,
Juan,Pérez,+5491122334455,Aceptado,12345678,
María,López,+5491166677788,Aceptado,87654321,
Carlos,Gómez,+5491199911122,adas,44556677,
Juan,Pérez,+5491122334455,Rechazado,12345678,
María,López,+5491166677788,Pendiente,87654321,
Carlos,Gómez,+5491199911122,dfsdf,44556677,
Juan,Pérez,+5491122334455,dfsdf,12345678,
María,López,+5491166677788,dfsdf,87654321,
Carlos,Gómez,+5491199911122,dfsdf,44556677,
Carlos,Gómez,+5491199911122,dfsdf,44556677,
Juan,Pérez,+5491122334455,dfsdf,12345678,
María,López,+5491166677788,dfsdf,87654321,
Carlos,Gómez,+5491199911122,dfsdf,44556677,
